classification,tweet
"positive","#NowPlaying Michael Jackson - She's Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes"
"negative","Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot"
"positive","@RediTlhabi @StevenB7777 OCTOBER  people have principles..&amp; argue passionately for them, about them &amp; ACT on them.  Ghandi, Sadat, ADT, me!"
"positive","I'm in the bathroom bumping "Niggas In Paris" Crunk ass hell like it's my 1st time hearing it this song will never get old lol"
"positive","Welcome Nick J! :") "@nickjonas"  In Manila! So excited for the show on Friday."
"positive","no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger."
"positive","4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift"
"positive","It's midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! &lt;333"
"negative","Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map..."
"positive","We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr"
"positive","Love how I skipped every category of the NTA's besides the soaps. Couldn't give half a fuck if everything else went off the air tomorrow."
"negative","@starky88 @nfl_uk Was in on sat and they only had the Ray Lewis home jersey.  They didn't have a lot either."
"positive","My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear"
"positive","@ariaclemente Wow! you're also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled "House of Hades" @camphalfblood"
"negative","Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA"
"negative","OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^"
"positive","Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr"
"positive","Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I've seen tonight."
"positive","The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://t.co/1RYso3ZZ"
"positive","Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes"
"positive","Breezin' won the Best Pop Instrumental Performance at the 19th Grammy Awards"
"negative","Not wearing make up to Dublin tomorrow until I'm getting ready for the party. Help."
"positive","@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe's :))"
"positive","Text from my dad: "you like Charles Dickens" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!"
"negative","Upset alert in ACC men's soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card."
"negative","really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick"
"positive","Looper was amazing!!! Now to the theatre to see Simon Callow's 'The Mystery of Charles Dickens' ...loving my Wednesday off work :-)"
"positive","If you're an October baby, then Happy Valentine's Day to your folks ... They have an annual memory"
"positive","Wish Maddie luck next saturday, she has a solo audition for Britain's Got Talent! :) ~ Ellie xxxxx"
"negative","@MeganWitmer that's crazy. I'm more jealous of u going to Joe Pa's grave! I was sad Saturday when I walked past where the statue should be:("
"positive","Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb"
"positive","Happy Valentine's Day!!! @MAziing: Everyday is the 14th!"
"positive","Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious"
"negative","This Sunday New York Giants are going down. #Steelers"
"negative","As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself"
"positive","Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD"
"negative","With all Benson's attention, Frankie feels like a forgotten stepchild. Lets 'founding father' him so he know we will never forget 2nd place."
"negative","Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE"
"positive","I will be participating in a Google+ Hangout with @TheEconomist tomorrow!  I'm SUPER excited! Check it out: https://t.co/jvmZcqBa"
"negative","@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!"
"positive","Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it's against my boys, LETS GO SPURS! #Spurs #NBA"
"positive","@TeamStradley mines personal thinking Tebow is better then Flacco. I don't care how bad he played Sunday"
"positive","@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids."
"negative","@politicalwire I'm still shaking my head at that decision and that the Heat &amp; Knick are actually playing tomorrow at MSG."
"negative","the glass may be rising, but it's not getting any warmer here, Lago del Desierto, Argentina http://t.co/Hp4S2M5G"
"positive","Wish I could make that trip to Athens on Tuesday @iCaptainMorgan"
"positive","Fabio Capello: "From what I've seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow". #cantwait"
"negative","Parker, Leonard steal OKC's thunder: Ninety minutes before tipoff Thursday night at the AT&amp;T Center, Oklahoma Ci... http://t.co/NNjbPSWk"
"positive","@Kreuzer_11 I really do hope they finish the trade by Tuesday or Wednesday. Gagner is a real solid player and could help the sabres"
"positive","After watching the campaign again I have realized that Step Brothers is still the funniest Will Ferrell movie but this one is in 2nd place"
"positive","@_bethanygarland I really wanna go to one of his things! Did you watch his new thing on channel 4 last Friday? xx"
"positive","Obama may have been better off staying put, personally I'm glad he's back on the trail- he's helping move people to Mitt!"
"positive","Remember Cupid at Convo last year with the bomb candy bar?? If you liked that, you'll LOVE next Tuesday's Tr http://t.co/af9hu4pU"
"positive","Games played during the week are now more interesting than Super Sunday!"
"positive","@Pastorjoshg @corylethgo @KevinCabe @kcabe21 I'd watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley"
"negative","Stacie just hit me up and said my packages might be up here tomorrow if that's the case I'm not going to the rave in San Fran. #priorities"
"negative","Give me 5 mins with Candy the dancer from Deja Vu I'm nutting on my 4th pump she that bad lol"
"positive","Kevin Hart show at MSG on November 10th is going to be beautiful"
"positive","@heeydems Do you know ?they may not but we're so fond of all the countries . Uh,happy Republic Day ."
"positive","@shootingrocks cof cof~  someone is going to Germany on november 30 ...oh I really envy you   :)  http://t.co/kZZoR8Az"
"positive","Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I'd really appreciate it"
"positive","Chick in my class said Flacco is the best QB in the league. 1- why is a chick talkin football. 2. I cant wait for class tomorrow lol"
"positive","#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://t.co/HcU3990c"
"positive","#OilersMobile: July 20: Sam Gagner | http://t.co/MisqEmgQ   @gagns89 nice to have you there for at least another year!"
"positive","think i might go see flight tomorrow just because Denzel Washington .."
"positive","I wish the best of luck to the boro football players and hope they kick butt Saturday for shaun #WinItForShaun"
"negative","Honesty is often best policy: Fabio Capello, Russia coach: "I was hoping Ronaldo's injury was more serious so he couldn't play tomorrow.""
"positive","Bestie we gotta go see "flight" with Denzel Washington, comes out Friday. Seems so good @Bsociallyactive"
"positive","@Yvette_Elena :) Most def, i think when you come tomorrow the boys will be here."
"negative","This is Austin Rivers 1st game and people sucking him he a rookie chill !"
"positive","Throwback Thursday! Daddy and Joe Pa! RIP to, in my eyes, still the most winningest coach in college footbal http://t.co/VhJcXZOR"
"negative","@HockeyyInsiderr " @OilersNow: Gagner's agent says talks continue, will have hearing on Friday if no deal" MSM just proved you're #clueless!"
"positive","Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though"
"positive","The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November &amp; December. More... http://t.co/2uz56zci"
"negative","@JessieWagnon @tcswagg NOOOOOOOOO!!!!!! Maybe you can just look over it right before the test tomorrow and do that first"
"negative","@ahmedthalib waheed proposed mdp to join the  gov prior CoNI's verdict. 7 feb controversial power transfer refrained mdp joining the govt."
"positive",""@AmianaTyransky: Frankie: I think I'm gonna have a date with my bed tomorrow Me: same." That's my boy"
"positive","Pray for Mohamed Morsi the new President of Egypt that he may continue to be a leader for freedom and peace.  http://t.co/f0LKm17i"
"negative","Axl Rose needs to just give up. Now. Not later, not soon, not tomorrow. NOW!"
"positive","Shout out to my boy @JshapMMA who fights tomorrow night on the Las Vegas #rfa card. He's put in the work so I don't need to wish him luck."
"positive","@lore_x3 Dec 16th. I know it's so far and near the end of Sagittarius but I'm a full blown Sag girl :) lol"
"positive","Happy Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight! Yay!!"
"negative","I wonder what Cortese is thinking after watching that 1st half of total wank? As for Boruc you are a disgrace and a complete TWAT. #saintsfc"
"negative","Sad I won't get to see @ZachMTV on The Challenge: Battle of the Seasons tonight :( I guess I'll have to wait until next Wednesday.."
"negative","Austin Rivers needs to get stronger, #Spurs guards muscling him tonight. He started and just now scored in 4th. #Hornets"
"positive","Happy Valentines Day &lt;3... only if you live in Brazil, otherwise its just another irritating Monday."
"negative","Okay me and @megnicolelewis are about to watch The Woman In Black. This may be a terrible night."
"positive","@Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I'm so happy!!!!"
"positive","This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert &lt;3 October 25 2011, one of the best day of my life :D"
"positive","Gambled on Chocolate Day as a successful theme day at work..turns out chdn DO like chocolate. Wed. is Gross Day. Hope kids like gross stuff."
"negative",""How many continents was The Challenge filmed on?" "21?" okay, what did you fail 2nd grade?"
"positive","@TimOcchipinti Were going to be at Boys and Girls Club to clean tomorrow at 10am. They told us to bring boots and gloves. All are welcome."
"positive","David Letterman had an interesting show on Monday. He is located in New York City. Because of the hurricane he... http://t.co/Rt5ORbLK"
"positive","November: my birthday month, election day, a weekend in San Fran with @AdamRGarcia, Naples for Thanksgiving, lots of friends &amp; family. YES."
"negative","I've been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous."
"positive","@AP I hope they make sure to take care of Eli Manning, Giants Vs Pittsburgh on Sunday #NFL"
"negative","@jenscibs they canceled the Frankie date that was supposed to be tomorrow.  So now everyone is going to the rescheduled show in South Bend."
"positive","@MittRomney come on Romney I may not be able to vote from Britain but I COMPLETLEY support you !!! Good Luck !"
"positive","WWE #raw should be interesting next week. The Road Dogg returned to WWE at the Royal Rumble and Shawn Michaels is going to be on Raw Monday"
"negative","did all my homework that's due in for later this week instead of the homework that's due for monday and tuesday, twat"
"positive",""Kendrick Perkins led the league for the 4th year in a row in SPM (Scowls per minute)" literally laughed out loud"
"positive","Eli manning best 4th quarter QB in the game!"
"negative","Lin picks up a loose ball and just trucks Stuckey. Unfortunately, that's not allowed, to bench with 4th foul as Pistons reclaim lead, 67-65."
"negative","Not sure what im going to be for halloween yet. Sun Shine is just too obvious, Larry Bird is the front runner as of right now."
"positive","Me personally don't see Grammy playing AFL again still 28 but i think he'll turn to something else now. Best of luck with what may be next."
"negative","I feel do bad.. My boo Asia bday event maybe cancelled for this Sunday!... I was soooo looking forward to it"
"positive","Shit, yeah, it's Thursday, Russell Howards Good News and Celebrity Juice is on"
"positive","Pretty good Thursday night with @juliecbirch! If only Rivers would stop sucking so bad! # @ Qualcomm Stadium http://t.co/opLRzq4a"
"positive",""My Heart is Gold, my Twat is glass, c'mon baby can't ya see?" Yes..a glass twat..better known as a "womb with a view" ;D LOL!"
"positive","I'm so good at gambling. I just owned Las Vegas. Leaving tomorrow morning for a weekend of dog sitting and homework. Not a bad week."
"negative","I can not change yesterday. I can only make the most to day, and look with hope toward tomorrow. (Anonymous)"
"positive","Had a wonderful workshop on Thursday at SAG office with Carol Nadell of Selective Casting. She is such a... http://t.co/lMvxPhsh"
"positive","Going to Buffalo Wild Wings tomorrow with my life long friend Israel and my brother.. That's what I call a good night. #KnicksNation"
"positive","7:15pm tomorrow night I have a date with Denzel! #Flight I can't wait!"
"positive","Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&amp;#039;s erro... http://t.co/BjbXiPIq"
"positive","New Die Hard movie coming out Feb 14.. Looks like Bruce Willis is going to be my Valentines date:o)"
"positive","I liked a @YouTube video http://t.co/HD89je4i Anonymous - Remember, Remember the 5th of November"
"positive","Hello man in pointy, multicoloured, snake skin cowboy boots, a suit and Axl Rose's hair, you've made my Friday heart even happier."
"positive","Me; 'ill bring your birthday card in on Friday'Kane; 'aw really? It's the thought that counts I'd prefer a tv'Twat"
"positive","Gotta go see Flight tomorrow Denzel is the greatest actor ever"
"negative","@yvettenbrown Damn, I just got Cougar Town cupcakes and was going to bring them tomorrow to share. I *shouldn't* eat all 12 alone..."
"negative","Kobe in the 4th is like Eli Manning. #Beware"
"negative","If one more commentator references how "smart" the Dook players are, I may just turn this mess off. #overratededucation #dook"
"negative","Scariest man alive. Kendrick Perkins is close 2nd "@jemelehill Ray Lewis is probably the only human being ever not born with an indoor voice"
"positive","@popshifter @YouTube Just whip it baby, whip it all night (welcome to Soul Train fandom; may you never leave)"
"negative","Been sat in my room sticking down postcards of Tehran on the wall for God knows how long. Why has nobody invented a teleporting machine yet?"
"positive","@SWIRV_nation Hellyeaa ahaha, One of the 1st streets on Niggas !"
"positive","hahahaha spanish people and Nadal's box all smiling after the break in the 5th set HAHAHAHAHAHA #rewatchingAOfinal"
"negative","Sundays in the Sag is like a Friday in Idaho.....boring as fuck!"
"positive","@rinithyme He'll be the Eli Manning of the NBA,they r both 2 of the best 4th quarter players in their sports #Closer #KillerInstinct #Splapa"
"positive","If the Steelers play as good as they did Sunday I say keep the Bee uniforms on all the way to the Superbowl #steelers"
"positive","yo I'm excited for Royal Rumble might book that Monday off work so I can watch it"
"positive","Procrastinating. I need to get ready for the 6th district Chicago Police Rally Against Violence. Chi-town cheer will be performing. King dr."
"negative",""Will you have lunch with me tomorrow night?"-random hoe that's hitting on Castle "NOOOOOOOOO"-Beckett"
"positive","@nickjonas Happy 20TH Birthday Nick J! Hope it's one of the best! You've accomplished so much already... And so much more to come. LOVE YOU!"
"positive","#factsaboutme When I was born. On that day , it was the 2nd day of Chinese New Year. Immediately , i gotten lots of redpacket :D"
"negative","Work almost over with then these negros won't see my face till Monday night!"
"positive","I'll be doing the Senior Bowl fun run with my niece next Saturday"
"positive","I hope I can get a ticket to the #1D concert in Belgium!!!You can't order them till Saturday!Pfff...:s"
"negative","3rd and goal at the 1 and Rivers throws a int. terrible pass by Rivers . Bad decisions cost u games. Geez half time Sd 10-3"
"positive","Egypt's Morsi gets red carpet welcome in Iran: TEHRAN, Aug 29: Egypt's Mohamed Morsi is in Iran for the first visit... http://t.co/LG2oLqrs"
"negative","@matt02392 is on the radio instead. MT @WaterlooRd: It's the first week without any Waterloo Road. Going to be a boring Thursday."
"negative","@staceyx8x lmao, from a garage in Boro. My mate went in for drink on Sunday night but they wouldn't serve him because it was too late, so"
"positive","Ground hog day is such a good film, Sunday is for food and films #sunday"
"positive","If Seattle and Portland were knit together and covered by the California sun, you'd have San Fran. Kinda love it."
"negative","Niggas was really fighting at the gas station Sat night tho"
"negative","Hmmm... it occurs to me that I haven't received a residual check in nearly a year now. I think I should email SAG tomorrow."
"positive","Apple's increasing "skeumorphism" - the wood and leather effects - Tim Cook canned Scott Forstall http://t.co/6Hs47TwZ no more dodgy effects"
"negative","@RaggyRach next Wednesday going to the Disney one. No chance Avril will go to the universal night #wimp"
"positive","@AllieJayHey I hope all your loved ones back in Maryland are okay! I didn't see you, Wednesday. :)"
"positive","Yay Bruno Mars is coming out with a new album on December 11th.(; I MUST HAVE IT!!"
"positive","I'm Like.. Why the fuck "Happy Valentines Day" is trending on the 12th of June? but anyways, I just knew that it is celebrated in Brasil. Xx"
"positive","Lady boner from Channing Tatum in the Vow right now and the fact that I get McDonald's breakfast tomorrow with @megnoel5250 #winning"
"negative","Being addicted to temple Run may be the worst thing that's happened to me haha."
"negative","@justinbieber is gonna be in Louisville, Kentucky tomorrow &amp; I can't go to the show. I guess I'll just sit and listen to his music &amp; pretend"
"positive","Wish my Grammy was here with me to celebrate my birthday on Sunday #missyou"
"positive","@Bryn2renner forget about Dook now we own that series anyways!  let's "Beat State" this saturday as we continue on to a succesful season."
"negative","@TheAmazingSalah You're saying perseverance in all instances. That doesn't mean #OccupyAUC is equivalent to 25 Jan revolution. see the diff?"
"positive","Long drive too Kentucky tomorrow hopefully gonna get the big buck we caught on cam, at least we got @ChaseRiceMusic playing in the Chevy! &lt;3"
"positive","Looking forward to seeing the Illegal Eagles at Dorking tomorrow night with Lin &amp; Amigo. Best Eagles tribute band around. #illegaleagles"
"positive","@christoferdrew Happy Valentine's day my love.. November is coming &lt;3"
"positive","Pakistan approves liberalised visa accord with India - Islamabad, Nov 1 (IANS) Pakistan has approved a liberalised v... http://t.co/EdcJEZaO"
"negative","Fabio Capello (Russia's head-coach) wishes Cristiano's injury was more serious. (Russia will play against Portugal tomorrow in the WCQ)"
"negative","FUCK Halloween. Fuck thanksgiving. Fuck my birthday. Fuck Christmas, the New Year, Valentines, St. Patrick's, April fools. Fuck all of that."
"positive","Going to the GRAMMYS First entertainment law breakfast here in NYC tomorrow! I'm so excited. One step closer..."
"positive","@Zararugosa Good morning Becky. Hope all's well, may you all have a good day"
"negative","I think I may be the only person around not excited that Beyonce is the half time performer for the Superbowl."
"positive","@Strombo Happy Thursday! Enjoyed the show so much last night watched 4x. #Thankyoutimeshifting!! Have a great day my Greek!"
"negative","The fact that I have no plans tomorrow night &amp; it's my last night in FL for a min &lt;&lt;&lt;&lt;&lt;&lt;"
"positive","Loved the hair style from Friday's Jason Wu #NYFW show? We're giving you the step-by-step to recreate the look http://t.co/ToqV0jJC"
"positive","@NoHeroesHere Glad you do. I think he may even be the next Spurs player to leave for a really big club. Before Bale possibly."
"positive","Just landed in Las Vegas!!! So excited to start canvassing for Obama tomorrow with @schuy_g and @Kimbemo! :) #GetOutTheVote"
"positive","Dad: what are you going to do in Athens tomorrow? Me: Nothing. Dad: Oh. Ok. Have fun.  I like my Father."
"negative","Don't be surprised if we end up waiting until November 16th to find out who the next POTUS is... #OhioProvisionalBallot http://t.co/VYsdhBFF"
"negative","Rugby tonight and it's like freezing omg I may die"
"positive","@sophietump results live at 10pm on Channel 4. If you have 4 Music its on there from 9.45. Lets get tanked up tomorrow either way!"
"positive","Asia stocks mostly up on US, China data: Asian stock markets advanced Friday as a batch of upbeat economic data from the U.S. and Chi..."
"positive","Breaking Dawn is coming out on the 16th , yayyy"
"positive","Celebrate the Chinese New Year in #Shanghai (around February) and see a dragon dance during the Spring Festival! Amazing experience!"
"negative","Disappointing to see the UK Govt issueing reassuring messages to Tehran http://t.co/FEePWqPh Maybe they were influenced by @Nigel_Farage :)"
"positive","@Roanmair You beat them 5-1 in the San Siro but Terry Henrys 3rd goal is world class. #NeverMindPires!"
"negative","Niggas is goin die on December 26th when them foams come out .. lol rs .. niggas goin rob you &amp; be like "da shoes or ya life nigga" lol"
"negative","just bought my 1st Heineken beer in Las Vegas.  ps I've lived here for 5 yrs ~what took me so long! http://t.co/WxVoBdek"
"positive","@thementalistcbs Can't wait for the new series, starts on Sunday over here in Britain, #redjohn"
"positive","Published a new blog entry November 18 - "Otherwise Known as Sheila the Great" in Art in the County. http://t.co/zkZFOhfm"
"positive","Dr. Mohamed Morsi announced as Egypt's first elected President after the glorious 25th of Jan Revolution. Congratulations"
"positive","Northern Lights Sale on Thursday; great pedigrees all the way through the catalogue! Genomics the full packages! View catalogue online!"
"positive","Billy Cundiff may be leaving Washington.  Hopefully he won't miss the door on the way out."
"positive","I THINK Bowen and Cofield will be better in 2nd yr, and hope Jenkins will be as good as he look last preseason, but those are unhatched eggs"
"positive",""@PurpleEndorphin: I WANT TANG JUN FOR CHRISTMAS." I want him on Valentines as well!!!"
"positive","Uh football boys... win tomorrow so we can run it in Becky's face that she wasn't there."
"negative","News Release 09 October 2012 Customers of the Negros sub-grid experienced a partial outage today at 5:45PM (cont) http://t.co/TLekrZox"
"negative","I do worry about the mentality of the average tweeter when I see Jeremy Kyle, and "Christmas" trending on November 1st..."
"positive","@DiscoveryUK #Halloween Good .. And who is the 3rd? Valentine's day? Or ?"
"negative","@MostDumbestLaws: A betrayed wife is legally allowed to kill her adulterous husband, but may only do so with her bare hands. (Hong Kong)"
"positive","Russell Howard, then Cuckoo, then Celebrity Juice, then Family Guy, Thursday night is the best night for comedy"
"negative","@PYaghoobians So? They put Tebow in the top 100 and a fucking fullback in the top 100. BTW Ray Lewis was 3rd on the overrated thing. Yup..."
"positive","Ricky Martin may be gay but he's sexy af' !!!!!!!! :D"
"positive","hey @kcrw members, did you miss your shot at Leonard Cohen tix this morning on @mbeKCRW? @anne_litt will have more for you on Sunday!"
"positive","Gonna ride the Love Train tomorrow..dig it ...Soul Train...Ojays. .bad ass...do it... https://t.co/H6BwziP3"
"positive","I wish I was out MD I wanna bear on Negros shit is fun , going out Sunday to Ross snighter Sunday Finna pop off on TWL"
"negative","Nick Diaz said he would "fight GSP tomorrow if the UFC asked". Except, you know, they wouldn't... because you're suspended..."
"positive","first tweet ever, loving san diego! Busy day like always and ready for @UFC on Fuel TV tomorrow."
"positive","@T_ina_82 Looks gorgeous! I'm going to try it out tomorrow. Do you have a base colour or just two coats of Northern Lights in the picture?"
